"","name","lon","lat"
"1","Douglas",-104.930128898246,39.3312850888425
"2","Phillips",-102.357768253214,40.5944201229699
"3","Elbert",-104.135435190998,39.2868336711089
"4","Broomfield",-105.056682729283,39.9599907175269
"5","Eagle",-106.694557050599,39.627626349779
"6","Hinsdale",-107.300499552712,37.8221035017369
"7","Crowley",-103.784523504323,38.3260824353212
"8","Alamosa",-105.788649610306,37.5726105943458
"9","Lake",-106.350019272144,39.2026464337652
"10","Montezuma",-108.596217133147,37.3386202171067
"11","Summit",-106.115575472807,39.6375882804874
"12","Baca",-102.560291994709,37.3194792247118
"13","Archuleta",-107.047550448829,37.1949614799003
"14","Otero",-103.717450669089,37.9014578738554
"15","Costilla",-105.427821969765,37.2770813805896
"16","Dolores",-108.517357955056,37.7498053365781
"17","Morgan",-103.8093420982,40.2627783190668
"18","Yuma",-102.425873975407,40.0030682047878
"19","Mineral",-106.928146587149,37.6693508696377
"20","Washington",-103.202929318785,39.9697409724649
"21","Adams",-104.336360845668,39.8750089578917
"22","Larimer",-105.462342855942,40.666787983931
"23","Clear Creek",-105.645967160915,39.6881358695731
"24","Pueblo",-104.512657867162,38.1736989240952
"25","Prowers",-102.392605259077,37.9555279888315
"26","Ouray",-107.767389610403,38.1471988378671
"27","Jackson",-106.340501202052,40.6657308690606
"28","Park",-105.718193241262,39.1201527561865
"29","La Plata",-107.843175822294,37.2862392704159
"30","Rio Grande",-106.384797822283,37.5830053094717
"31","Arapahoe",-104.335458354585,39.6506337997654
"32","Kiowa",-102.739092786775,38.4332354384371
"33","Jefferson",-105.251678205207,39.58573182037
"34","Teller",-105.161404710252,38.8811625095678
"35","San Juan",-107.676366068275,37.7625625377715
"36","El Paso",-104.525044893135,38.8326627877264
"37","Moffat",-108.207779648485,40.619188176019
"38","Saguache",-106.281950774512,38.0809431714679
"39","Mesa",-108.470932223801,39.0181687439116
"40","Sedgwick",-102.351893331802,40.8762103938473
"41","Grand",-106.117599085475,40.1059951680146
"42","Montrose",-108.264922172186,38.4028477825486
"43","Routt",-106.990152017296,40.4850603984396
"44","Bent",-103.072027802693,37.9546476998668
"45","Kit Carson",-102.602218331281,39.3053580261088
"46","Gunnison",-107.032355347059,38.6658283701021
"47","Chaffee",-106.192375214071,38.7471987606569
"48","Logan",-103.110761990237,40.7250461954131
"49","San Miguel",-108.406347273283,38.0030229079447
"50","Boulder",-105.354724166796,40.0932058786088
"51","Custer",-105.368359967912,38.1090854272292
"52","Lincoln",-103.514284920009,38.986534258793
"53","Delta",-107.863352894566,38.8627909924423
"54","Conejos",-106.190950384546,37.2011410462422
"55","Fremont",-105.439947144897,38.4740242848277
"56","Denver",-104.870637497794,39.7621293843301
"57","Gilpin",-105.52521425789,39.8565203597259
"58","Las Animas",-104.038154694226,37.3162120806393
"59","Garfield",-107.903586082937,39.6005241460467
"60","Rio Blanco",-108.21793840501,39.980649493735
"61","Huerfano",-104.960848075183,37.6848725357866
"62","Cheyenne",-102.603635298748,38.8280040643395
"63","Weld",-104.39419458993,40.5545076883294
"64","Pitkin",-106.925522747317,39.2173096167143
